dataset,dataset_label,model,metric,metric_label,higher_is_better,raw_value,performance_percentile,dataset_consensus_rank,filtered_rank,global_rank
C_AMPs-predict_test,C_AMPs-predict test,esm-AxP-GDL,MCC,MCC,True,0.32308476331812913,0.6666666666666666,2.5,6,9
C_AMPs-predict_test,C_AMPs-predict test,ascan2,MCC,MCC,True,0.19589866747020435,0.4,10.5,7,10
C_AMPs-predict_test,C_AMPs-predict test,ai4amp,MCC,MCC,True,0.2932768691169939,0.6,7.0,8,11
C_AMPs-predict_test,C_AMPs-predict test,lstm,MCC,MCC,True,0.2150243496116673,0.4666666666666667,9.0,9,12
C_AMPs-predict_test,C_AMPs-predict test,apin,MCC,MCC,True,0.19361857731575705,0.3333333333333333,10.5,10,13
C_AMPs-predict_test,C_AMPs-predict test,amPEPpy,MCC,MCC,True,0.40231335325065637,0.7333333333333333,6.0,11,14
C_AMPs-predict_test,C_AMPs-predict test,iampcn,MCC,MCC,True,0.1487179700258728,0.2,13.0,12,15
C_AMPs-predict_test,C_AMPs-predict test,ampir,MCC,MCC,True,0.1539598702696686,0.26666666666666666,12.0,13,16
C_AMPs-predict_test,C_AMPs-predict test,apex1.1,MCC,MCC,True,0.1369470650886872,0.13333333333333333,14.0,14,17
C_AMPs-predict_test,C_AMPs-predict test,iamp-ca2l,MCC,MCC,True,0.0080443326145522,0.06666666666666667,15.0,15,18
C_AMPs-predict_test,C_AMPs-predict test,HMD-AMP,BalancedAccuracy,BAcc,True,0.8779420478726685,0.7333333333333333,8.0,1,2
C_AMPs-predict_test,C_AMPs-predict test,C_AMPs-predict,BalancedAccuracy,BAcc,True,0.9231885153420613,0.8666666666666667,1.0,2,3
C_AMPs-predict_test,C_AMPs-predict test,AMPsorter,BalancedAccuracy,BAcc,True,0.8764965974551979,0.6666666666666666,4.0,3,6
C_AMPs-predict_test,C_AMPs-predict test,pepnet_fast,BalancedAccuracy,BAcc,True,0.9326033727303156,1.0,2.5,4,7
C_AMPs-predict_test,C_AMPs-predict test,macrel,BalancedAccuracy,BAcc,True,0.8541739967088007,0.4666666666666667,5.0,5,8
C_AMPs-predict_test,C_AMPs-predict test,esm-AxP-GDL,BalancedAccuracy,BAcc,True,0.9256376710947973,0.9333333333333333,2.5,6,9
C_AMPs-predict_test,C_AMPs-predict test,ascan2,BalancedAccuracy,BAcc,True,0.8267334105130766,0.4,10.5,7,10
C_AMPs-predict_test,C_AMPs-predict test,ai4amp,BalancedAccuracy,BAcc,True,0.8638315576404425,0.6,7.0,8,11
C_AMPs-predict_test,C_AMPs-predict test,lstm,BalancedAccuracy,BAcc,True,0.8609128493493534,0.5333333333333333,9.0,9,12
C_AMPs-predict_test,C_AMPs-predict test,apin,BalancedAccuracy,BAcc,True,0.8246140756581696,0.3333333333333333,10.5,10,13
C_AMPs-predict_test,C_AMPs-predict test,amPEPpy,BalancedAccuracy,BAcc,True,0.9097434284384704,0.8,6.0,11,14
C_AMPs-predict_test,C_AMPs-predict test,iampcn,BalancedAccuracy,BAcc,True,0.7814941924904857,0.26666666666666666,13.0,12,15
C_AMPs-predict_test,C_AMPs-predict test,ampir,BalancedAccuracy,BAcc,True,0.7800835013931998,0.2,12.0,13,16
C_AMPs-predict_test,C_AMPs-predict test,apex1.1,BalancedAccuracy,BAcc,True,0.5161803023553312,0.13333333333333333,14.0,14,17
C_AMPs-predict_test,C_AMPs-predict test,iamp-ca2l,BalancedAccuracy,BAcc,True,0.515336341101533,0.06666666666666667,15.0,15,18
C_AMPs-predict_test,C_AMPs-predict test,HMD-AMP,Recall,Recall,True,0.8940269749518305,0.5333333333333333,8.0,1,2
C_AMPs-predict_test,C_AMPs-predict test,C_AMPs-predict,Recall,Recall,True,0.8477842003853564,0.4,1.0,2,3
C_AMPs-predict_test,C_AMPs-predict test,AMPsorter,Recall,Recall,True,0.7736030828516378,0.26666666666666666,4.0,3,6
C_AMPs-predict_test,C_AMPs-predict test,pepnet_fast,Recall,Recall,True,0.8978805394990366,0.6,2.5,4,7
C_AMPs-predict_test,C_AMPs-predict test,macrel,Recall,Recall,True,0.7418111753371869,0.2,5.0,5,8
C_AMPs-predict_test,C_AMPs-predict test,esm-AxP-GDL,Recall,Recall,True,0.9749518304431599,0.9333333333333333,2.5,6,9
C_AMPs-predict_test,C_AMPs-predict test,ascan2,Recall,Recall,True,0.8998073217726397,0.7,10.5,7,10
C_AMPs-predict_test,C_AMPs-predict test,ai4amp,Recall,Recall,True,0.8352601156069365,0.3333333333333333,7.0,8,11
C_AMPs-predict_test,C_AMPs-predict test,lstm,Recall,Recall,True,0.9720616570327553,0.8666666666666667,9.0,9,12
C_AMPs-predict_test,C_AMPs-predict test,apin,Recall,Recall,True,0.8998073217726397,0.7,10.5,10,13
C_AMPs-predict_test,C_AMPs-predict test,amPEPpy,Recall,Recall,True,0.882466281310212,0.4666666666666667,6.0,11,14
C_AMPs-predict_test,C_AMPs-predict test,iampcn,Recall,Recall,True,0.9932562620423893,1.0,13.0,12,15
C_AMPs-predict_test,C_AMPs-predict test,ampir,Recall,Recall,True,0.9007707129094412,0.8,12.0,13,16
C_AMPs-predict_test,C_AMPs-predict test,apex1.1,Recall,Recall,True,0.03275529865125241,0.06666666666666667,14.0,14,17
C_AMPs-predict_test,C_AMPs-predict test,iamp-ca2l,Recall,Recall,True,0.5337186897880539,0.13333333333333333,15.0,15,18
C_AMPs-predict_test,C_AMPs-predict test,HMD-AMP,Precision,Precision,True,0.10336377812430385,0.4666666666666667,8.0,1,2
C_AMPs-predict_test,C_AMPs-predict test,C_AMPs-predict,Precision,Precision,True,0.9147609147609148,1.0,1.0,2,3
C_AMPs-predict_test,C_AMPs-predict test,AMPsorter,Precision,Precision,True,0.40069860279441116,0.8666666666666667,4.0,3,6
C_AMPs-predict_test,C_AMPs-predict test,pepnet_fast,Precision,Precision,True,0.32863187588152326,0.8,2.5,4,7
C_AMPs-predict_test,C_AMPs-predict test,macrel,Precision,Precision,True,0.28308823529411764,0.7333333333333333,5.0,5,8
C_AMPs-predict_test,C_AMPs-predict test,esm-AxP-GDL,Precision,Precision,True,0.1231293344689135,0.6,2.5,6,9
C_AMPs-predict_test,C_AMPs-predict test,ascan2,Precision,Precision,True,0.061089672313427955,0.3333333333333333,10.5,7,10
C_AMPs-predict_test,C_AMPs-predict test,ai4amp,Precision,Precision,True,0.12147961328289197,0.5333333333333333,7.0,8,11
C_AMPs-predict_test,C_AMPs-predict test,lstm,Precision,Precision,True,0.06471682380860753,0.4,9.0,9,12
C_AMPs-predict_test,C_AMPs-predict test,apin,Precision,Precision,True,0.060118434603501546,0.26666666666666666,10.5,10,13
C_AMPs-predict_test,C_AMPs-predict test,amPEPpy,Precision,Precision,True,0.19973833406018315,0.6666666666666666,6.0,11,14
C_AMPs-predict_test,C_AMPs-predict test,iampcn,Precision,Precision,True,0.03949586270303402,0.13333333333333333,13.0,12,15
C_AMPs-predict_test,C_AMPs-predict test,ampir,Precision,Precision,True,0.04498869268151855,0.2,12.0,13,16
C_AMPs-predict_test,C_AMPs-predict test,apex1.1,Precision,Precision,True,0.5964912280701754,0.9333333333333333,14.0,14,17
C_AMPs-predict_test,C_AMPs-predict test,iamp-ca2l,Precision,Precision,True,0.018548279094683272,0.06666666666666667,15.0,15,18
C_AMPs-predict_test,C_AMPs-predict test,HMD-AMP,BrierScore,Brier,False,0.11399252668847264,0.4666666666666667,8.0,1,2
C_AMPs-predict_test,C_AMPs-predict test,C_AMPs-predict,BrierScore,Brier,False,0.003374163179174183,1.0,1.0,2,3
C_AMPs-predict_test,C_AMPs-predict test,AMPsorter,BrierScore,Brier,False,0.019461404613937902,0.8666666666666667,4.0,3,6
C_AMPs-predict_test,C_AMPs-predict test,pepnet_fast,BrierScore,Brier,False,0.02613434029100841,0.8,2.5,4,7
C_AMPs-predict_test,C_AMPs-predict test,macrel,BrierScore,Brier,False,0.0464402388089899,0.7333333333333333,5.0,5,8
C_AMPs-predict_test,C_AMPs-predict test,esm-AxP-GDL,BrierScore,Brier,False,0.08779172643891281,0.5333333333333333,2.5,6,9
C_AMPs-predict_test,C_AMPs-predict test,ascan2,BrierScore,Brier,False,0.2153036755927231,0.2,10.5,7,10
C_AMPs-predict_test,C_AMPs-predict test,ai4amp,BrierScore,Brier,False,0.08665751425013908,0.6,7.0,8,11
C_AMPs-predict_test,C_AMPs-predict test,lstm,BrierScore,Brier,False,0.21400978101684343,0.26666666666666666,9.0,9,12
C_AMPs-predict_test,C_AMPs-predict test,apin,BrierScore,Brier,False,0.1927976404356696,0.4,10.5,10,13
C_AMPs-predict_test,C_AMPs-predict test,amPEPpy,BrierScore,Brier,False,0.04840408132167726,0.6666666666666666,6.0,11,14
C_AMPs-predict_test,C_AMPs-predict test,iampcn,BrierScore,Brier,False,0.2742912181590262,0.13333333333333333,13.0,12,15
C_AMPs-predict_test,C_AMPs-predict test,ampir,BrierScore,Brier,False,0.2017014140678795,0.3333333333333333,12.0,13,16
C_AMPs-predict_test,C_AMPs-predict test,apex1.1,BrierScore,Brier,False,0.01731550639847583,0.9333333333333333,14.0,14,17
C_AMPs-predict_test,C_AMPs-predict test,iamp-ca2l,BrierScore,Brier,False,0.5024025897388342,0.06666666666666667,15.0,15,18
C_AMPs-predict_test,C_AMPs-predict test,HMD-AMP,ECE,ECE,False,0.1671773330410885,0.4666666666666667,8.0,1,2
C_AMPs-predict_test,C_AMPs-predict test,C_AMPs-predict,ECE,ECE,False,0.0023450523511658896,1.0,1.0,2,3
C_AMPs-predict_test,C_AMPs-predict test,AMPsorter,ECE,ECE,False,0.03181125784578913,0.8666666666666667,4.0,3,6
C_AMPs-predict_test,C_AMPs-predict test,pepnet_fast,ECE,ECE,False,0.0434707052654651,0.8,2.5,4,7
C_AMPs-predict_test,C_AMPs-predict test,macrel,ECE,ECE,False,0.1447619834432062,0.7333333333333333,5.0,5,8
C_AMPs-predict_test,C_AMPs-predict test,esm-AxP-GDL,ECE,ECE,False,0.15993645735790893,0.5333333333333333,2.5,6,9
C_AMPs-predict_test,C_AMPs-predict test,ascan2,ECE,ECE,False,0.25431766788622684,0.3333333333333333,10.5,7,10
C_AMPs-predict_test,C_AMPs-predict test,ai4amp,ECE,ECE,False,0.1587987236768896,0.6,7.0,8,11
C_AMPs-predict_test,C_AMPs-predict test,lstm,ECE,ECE,False,0.25407922813643335,0.4,9.0,9,12
C_AMPs-predict_test,C_AMPs-predict test,apin,ECE,ECE,False,0.26877792989496047,0.26666666666666666,10.5,10,13
C_AMPs-predict_test,C_AMPs-predict test,amPEPpy,ECE,ECE,False,0.1454953903997572,0.6666666666666666,6.0,11,14
C_AMPs-predict_test,C_AMPs-predict test,iampcn,ECE,ECE,False,0.46262626662845,0.13333333333333333,13.0,12,15
C_AMPs-predict_test,C_AMPs-predict test,ampir,ECE,ECE,False,0.36009505150815196,0.2,12.0,13,16
C_AMPs-predict_test,C_AMPs-predict test,apex1.1,ECE,ECE,False,0.01731550639847583,0.9333333333333333,14.0,14,17
C_AMPs-predict_test,C_AMPs-predict test,iamp-ca2l,ECE,ECE,False,0.5024025897388342,0.06666666666666667,15.0,15,18
Veltri_test,Veltri test,HMD-AMP,AUPRC,AUPRC,True,0.9876185709465642,0.9333333333333333,2.0,1,2
Veltri_test,Veltri test,C_AMPs-predict,AUPRC,AUPRC,True,0.9739916272559657,0.7333333333333333,5.0,2,3
Veltri_test,Veltri test,AMPsorter,AUPRC,AUPRC,True,0.9153607589990603,0.3333333333333333,10.0,3,6
Veltri_test,Veltri test,pepnet_fast,AUPRC,AUPRC,True,0.967216217420262,0.5333333333333333,8.0,4,7
Veltri_test,Veltri test,macrel,AUPRC,AUPRC,True,0.985801380495173,0.8666666666666667,3.0,5,8
Veltri_test,Veltri test,esm-AxP-GDL,AUPRC,AUPRC,True,0.8804367626513594,0.26666666666666666,12.0,6,9
Veltri_test,Veltri test,ascan2,AUPRC,AUPRC,True,0.9928413325799089,1.0,1.0,7,10
Veltri_test,Veltri test,ai4amp,AUPRC,AUPRC,True,0.9722044733382772,0.6,6.0,8,11
Veltri_test,Veltri test,lstm,AUPRC,AUPRC,True,0.9657591880894358,0.4666666666666667,9.0,9,12
Veltri_test,Veltri test,apin,AUPRC,AUPRC,True,0.9770098134580818,0.8,4.0,10,13
Veltri_test,Veltri test,amPEPpy,AUPRC,AUPRC,True,0.9556122458446723,0.4,11.0,11,14
Veltri_test,Veltri test,iampcn,AUPRC,AUPRC,True,0.7377101505296245,0.2,13.0,12,15
Veltri_test,Veltri test,ampir,AUPRC,AUPRC,True,0.9730442282424998,0.6666666666666666,7.0,13,16
Veltri_test,Veltri test,apex1.1,AUPRC,AUPRC,True,0.5223518294383477,0.06666666666666667,15.0,14,17
Veltri_test,Veltri test,iamp-ca2l,AUPRC,AUPRC,True,0.5335256008102265,0.13333333333333333,14.0,15,18
Veltri_test,Veltri test,HMD-AMP,AUROC,AUROC,True,0.9835543597883013,0.9333333333333333,2.0,1,2
Veltri_test,Veltri test,C_AMPs-predict,AUROC,AUROC,True,0.9659736316729619,0.5333333333333333,5.0,2,3
Veltri_test,Veltri test,AMPsorter,AUROC,AUROC,True,0.9122456767114803,0.3333333333333333,10.0,3,6
Veltri_test,Veltri test,pepnet_fast,AUROC,AUROC,True,0.9672151772728028,0.6666666666666666,8.0,4,7
Veltri_test,Veltri test,macrel,AUROC,AUROC,True,0.981538576397914,0.8666666666666667,3.0,5,8
Veltri_test,Veltri test,esm-AxP-GDL,AUROC,AUROC,True,0.8724028469829613,0.26666666666666666,12.0,6,9
Veltri_test,Veltri test,ascan2,AUROC,AUROC,True,0.9946328730305326,1.0,1.0,7,10
Veltri_test,Veltri test,ai4amp,AUROC,AUROC,True,0.9668985693191686,0.6,6.0,8,11
Veltri_test,Veltri test,lstm,AUROC,AUROC,True,0.9630204675290202,0.4666666666666667,9.0,9,12
Veltri_test,Veltri test,apin,AUROC,AUROC,True,0.9743008356237867,0.8,4.0,10,13
Veltri_test,Veltri test,amPEPpy,AUROC,AUROC,True,0.9387107834733415,0.4,11.0,11,14
Veltri_test,Veltri test,iampcn,AUROC,AUROC,True,0.768066009301914,0.2,13.0,12,15
Veltri_test,Veltri test,ampir,AUROC,AUROC,True,0.967892635339531,0.7333333333333333,7.0,13,16
Veltri_test,Veltri test,apex1.1,AUROC,AUROC,True,0.512214983713355,0.06666666666666667,15.0,14,17
Veltri_test,Veltri test,iamp-ca2l,AUROC,AUROC,True,0.5421047101309014,0.13333333333333333,14.0,15,18
Veltri_test,Veltri test,HMD-AMP,MCC,MCC,True,0.8885687588188262,0.8666666666666667,2.0,1,2
Veltri_test,Veltri test,C_AMPs-predict,MCC,MCC,True,0.837625560929757,0.7333333333333333,5.0,2,3
Veltri_test,Veltri test,AMPsorter,MCC,MCC,True,0.6680519478098829,0.4,10.0,3,6
Veltri_test,Veltri test,pepnet_fast,MCC,MCC,True,0.7334845810093317,0.4666666666666667,8.0,4,7
Veltri_test,Veltri test,macrel,MCC,MCC,True,0.888897816028026,0.9333333333333333,3.0,5,8
Veltri_test,Veltri test,esm-AxP-GDL,MCC,MCC,True,0.513232165885494,0.26666666666666666,12.0,6,9
Veltri_test,Veltri test,ascan2,MCC,MCC,True,0.9227511715402582,1.0,1.0,7,10
Veltri_test,Veltri test,ai4amp,MCC,MCC,True,0.8237692338832787,0.6666666666666666,6.0,8,11
Veltri_test,Veltri test,lstm,MCC,MCC,True,0.7417028847565696,0.5333333333333333,9.0,9,12
Veltri_test,Veltri test,apin,MCC,MCC,True,0.840715712307387,0.8,4.0,10,13
Veltri_test,Veltri test,amPEPpy,MCC,MCC,True,0.5700041019247236,0.3333333333333333,11.0,11,14
Veltri_test,Veltri test,iampcn,MCC,MCC,True,0.2440125061845904,0.2,13.0,12,15
Veltri_test,Veltri test,ampir,MCC,MCC,True,0.7630467841954723,0.6,7.0,13,16
Veltri_test,Veltri test,apex1.1,MCC,MCC,True,0.11005527695266662,0.13333333333333333,15.0,14,17
Veltri_test,Veltri test,iamp-ca2l,MCC,MCC,True,0.08544091842656233,0.06666666666666667,14.0,15,18
Veltri_test,Veltri test,HMD-AMP,BalancedAccuracy,BAcc,True,0.9442991212401077,0.8666666666666667,2.0,1,2
Veltri_test,Veltri test,C_AMPs-predict,BalancedAccuracy,BAcc,True,0.9178063631285843,0.7333333333333333,5.0,2,3
Veltri_test,Veltri test,AMPsorter,BalancedAccuracy,BAcc,True,0.831860438107984,0.4,10.0,3,6
Veltri_test,Veltri test,pepnet_fast,BalancedAccuracy,BAcc,True,0.8563788898536138,0.4666666666666667,8.0,4,7
Veltri_test,Veltri test,macrel,BalancedAccuracy,BAcc,True,0.9445410705496535,0.9333333333333333,3.0,5,8
Veltri_test,Veltri test,esm-AxP-GDL,BalancedAccuracy,BAcc,True,0.7358162401906837,0.26666666666666666,12.0,6,9
Veltri_test,Veltri test,ascan2,BalancedAccuracy,BAcc,True,0.9592875353245992,1.0,1.0,7,10
Veltri_test,Veltri test,ai4amp,BalancedAccuracy,BAcc,True,0.9110843200256604,0.6666666666666666,6.0,8,11
Veltri_test,Veltri test,lstm,BalancedAccuracy,BAcc,True,0.8634120106402393,0.5333333333333333,9.0,9,12
Veltri_test,Veltri test,apin,BalancedAccuracy,BAcc,True,0.9204415367514088,0.8,4.0,10,13
Veltri_test,Veltri test,amPEPpy,BalancedAccuracy,BAcc,True,0.7606609778623294,0.3333333333333333,11.0,11,14
Veltri_test,Veltri test,iampcn,BalancedAccuracy,BAcc,True,0.5551782682512734,0.2,13.0,12,15
Veltri_test,Veltri test,ampir,BalancedAccuracy,BAcc,True,0.8782580202739696,0.6,7.0,13,16
Veltri_test,Veltri test,apex1.1,BalancedAccuracy,BAcc,True,0.512214983713355,0.06666666666666667,15.0,14,17
Veltri_test,Veltri test,iamp-ca2l,BalancedAccuracy,BAcc,True,0.5421047101309016,0.13333333333333333,14.0,15,18
Veltri_test,Veltri test,HMD-AMP,Recall,Recall,True,0.9446254071661238,0.6666666666666666,2.0,1,2
Veltri_test,Veltri test,C_AMPs-predict,Recall,Recall,True,0.8729641693811075,0.26666666666666666,5.0,2,3
Veltri_test,Veltri test,AMPsorter,Recall,Recall,True,0.8827361563517915,0.3333333333333333,10.0,3,6
Veltri_test,Veltri test,pepnet_fast,Recall,Recall,True,0.9674267100977199,0.8666666666666667,8.0,4,7
Veltri_test,Veltri test,macrel,Recall,Recall,True,0.9332247557003257,0.5333333333333333,3.0,5,8
Veltri_test,Veltri test,esm-AxP-GDL,Recall,Recall,True,0.9283387622149837,0.4666666666666667,12.0,6,9
Veltri_test,Veltri test,ascan2,Recall,Recall,True,0.998371335504886,0.9333333333333333,1.0,7,10
Veltri_test,Veltri test,ai4amp,Recall,Recall,True,0.8697068403908795,0.2,6.0,8,11
Veltri_test,Veltri test,lstm,Recall,Recall,True,0.9560260586319218,0.7333333333333333,9.0,9,12
Veltri_test,Veltri test,apin,Recall,Recall,True,0.9087947882736156,0.4,4.0,10,13
Veltri_test,Veltri test,amPEPpy,Recall,Recall,True,0.9576547231270358,0.8,11.0,11,14
Veltri_test,Veltri test,iampcn,Recall,Recall,True,1.0,1.0,13.0,12,15
Veltri_test,Veltri test,ampir,Recall,Recall,True,0.9364820846905537,0.6,7.0,13,16
Veltri_test,Veltri test,apex1.1,Recall,Recall,True,0.024429967426710098,0.06666666666666667,15.0,14,17
Veltri_test,Veltri test,iamp-ca2l,Recall,Recall,True,0.4560260586319218,0.13333333333333333,14.0,15,18
Veltri_test,Veltri test,HMD-AMP,Precision,Precision,True,0.9461663947797716,0.7333333333333333,2.0,1,2
Veltri_test,Veltri test,C_AMPs-predict,Precision,Precision,True,0.9605734767025089,0.9333333333333333,5.0,2,3
Veltri_test,Veltri test,AMPsorter,Precision,Precision,True,0.8077496274217586,0.4,10.0,3,6
Veltri_test,Veltri test,pepnet_fast,Precision,Precision,True,0.7983870967741935,0.3333333333333333,8.0,4,7
Veltri_test,Veltri test,macrel,Precision,Precision,True,0.9565943238731218,0.8666666666666667,3.0,5,8
Veltri_test,Veltri test,esm-AxP-GDL,Precision,Precision,True,0.6793802145411204,0.2,12.0,6,9
Veltri_test,Veltri test,ascan2,Precision,Precision,True,0.9287878787878788,0.6,1.0,7,10
Veltri_test,Veltri test,ai4amp,Precision,Precision,True,0.9501779359430605,0.8,6.0,8,11
Veltri_test,Veltri test,lstm,Precision,Precision,True,0.8130193905817175,0.4666666666666667,9.0,9,12
Veltri_test,Veltri test,apin,Precision,Precision,True,0.9331103678929766,0.6666666666666666,4.0,10,13
Veltri_test,Veltri test,amPEPpy,Precision,Precision,True,0.6958579881656805,0.26666666666666666,11.0,11,14
Veltri_test,Veltri test,iampcn,Precision,Precision,True,0.539543057996485,0.06666666666666667,13.0,12,15
Veltri_test,Veltri test,ampir,Precision,Precision,True,0.8443465491923642,0.5333333333333333,7.0,13,16
Veltri_test,Veltri test,apex1.1,Precision,Precision,True,1.0,1.0,15.0,14,17
Veltri_test,Veltri test,iamp-ca2l,Precision,Precision,True,0.561122244488978,0.13333333333333333,14.0,15,18
Veltri_test,Veltri test,HMD-AMP,BrierScore,Brier,False,0.04127790893599335,0.9333333333333333,2.0,1,2
Veltri_test,Veltri test,C_AMPs-predict,BrierScore,Brier,False,0.06779890113881962,0.6666666666666666,5.0,2,3
Veltri_test,Veltri test,AMPsorter,BrierScore,Brier,False,0.12228780136135448,0.4,10.0,3,6
Veltri_test,Veltri test,pepnet_fast,BrierScore,Brier,False,0.10674504655029093,0.5333333333333333,8.0,4,7
Veltri_test,Veltri test,macrel,BrierScore,Brier,False,0.05790750207813798,0.8666666666666667,3.0,5,8
Veltri_test,Veltri test,esm-AxP-GDL,BrierScore,Brier,False,0.22706536251048492,0.26666666666666666,12.0,6,9
Veltri_test,Veltri test,ascan2,BrierScore,Brier,False,0.030954769052369078,1.0,1.0,7,10
Veltri_test,Veltri test,ai4amp,BrierScore,Brier,False,0.06713018850374065,0.7333333333333333,6.0,8,11
Veltri_test,Veltri test,lstm,BrierScore,Brier,False,0.11179207625935163,0.4666666666666667,9.0,9,12
Veltri_test,Veltri test,apin,BrierScore,Brier,False,0.060892503532834576,0.8,4.0,10,13
Veltri_test,Veltri test,amPEPpy,BrierScore,Brier,False,0.1472185036492103,0.3333333333333333,11.0,11,14
Veltri_test,Veltri test,iampcn,BrierScore,Brier,False,0.371481837123857,0.2,13.0,12,15
Veltri_test,Veltri test,ampir,BrierScore,Brier,False,0.0814705227015794,0.6,7.0,13,16
Veltri_test,Veltri test,apex1.1,BrierScore,Brier,False,0.4979218620116376,0.06666666666666667,15.0,14,17
Veltri_test,Veltri test,iamp-ca2l,BrierScore,Brier,False,0.4596841230257689,0.13333333333333333,14.0,15,18
Veltri_test,Veltri test,HMD-AMP,ECE,ECE,False,0.02710349127182045,0.9333333333333333,2.0,1,2
Veltri_test,Veltri test,C_AMPs-predict,ECE,ECE,False,0.057274729842061514,0.7333333333333333,5.0,2,3
