round,metric,weight,coverage,separation,consistency,consensus,uniqueness,committee_support
15,AUPRC,0.1232227074,1.0,0.272166,0.333333,0.320395,0.392375,0.408714
15,BalancedAccuracy,0.1459308312,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
15,ECE,0.1383575005,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
15,NPV,0.1765094455,1.0,0.720082,0.833333,0.941249,0.320946,0.710669
15,Precision,0.1693381357,1.0,0.720082,0.833333,0.483029,0.565235,0.696435
15,Recall,0.1704841309,1.0,0.720082,0.833333,0.822451,0.304824,0.684655
16,ACC,0.086370015,1.0,0.816497,1.0,0.985363,0.416667,0.803652
16,AUPRC,0.1268390742,1.0,0.816497,1.0,0.638675,0.5,0.76426
16,BalancedAccuracy,0.1477707676,1.0,0.816497,1.0,0.985363,0.416667,0.803652
16,ECE,0.1387047277,1.0,0.816497,1.0,0.846688,0.25,0.70392
16,NPV,0.1722784393,1.0,0.816497,1.0,0.846688,0.25,0.70392
16,Precision,0.1610608137,1.0,0.816497,1.0,0.153312,0.25,0.500143
16,Recall,0.1669761625,1.0,0.816497,1.0,0.846688,0.25,0.70392
17,ACC,0.0954403289,1.0,0.471405,0.5,0.933013,0.637445,0.675054
17,AUPRC,0.130005812,1.0,0.720082,0.833333,0.594491,0.297894,0.638677
17,BalancedAccuracy,0.1460933774,1.0,0.272166,0.333333,1.0,0.594505,0.557665
17,ECE,0.1353585173,1.0,0.272166,0.333333,0.75,0.309041,0.461911
17,NPV,0.1697341506,1.0,0.720082,0.833333,0.594491,0.27755,0.629705
17,Precision,0.1582996669,1.0,0.816497,1.0,0.25,0.309041,0.575416
17,Recall,0.165068147,1.0,0.720082,0.833333,0.594491,0.27755,0.629705
18,ACC,0.1034222052,1.0,0.471405,0.5,0.933013,0.637445,0.675054
18,AUPRC,0.1327925413,1.0,0.720082,0.833333,0.594491,0.297894,0.638677
18,BalancedAccuracy,0.144617274,1.0,0.272166,0.333333,1.0,0.594505,0.557665
18,ECE,0.132413852,1.0,0.272166,0.333333,0.75,0.309041,0.461911
18,NPV,0.1674951765,1.0,0.720082,0.833333,0.594491,0.27755,0.629705
18,Precision,0.1558698577,1.0,0.816497,1.0,0.25,0.309041,0.575416
18,Recall,0.1633890933,1.0,0.720082,0.833333,0.594491,0.27755,0.629705
19,ACC,0.092403542,1.0,0.0,0.25,0.5,1.0,0.041628
19,AUPRC,0.1305244507,1.0,0.272166,0.333333,0.320395,0.392375,0.408714
19,BalancedAccuracy,0.1447604598,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
19,ECE,0.1340214485,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
19,NPV,0.1711598628,1.0,0.720082,0.833333,0.941249,0.320946,0.710669
19,Precision,0.1604536106,1.0,0.720082,0.833333,0.483029,0.565235,0.696435
19,Recall,0.1666766257,1.0,0.720082,0.833333,0.822451,0.304824,0.684655
20,ACC,0.0827071184,1.0,0.0,0.25,0.5,1.0,0.041628
20,AUPRC,0.1285285309,1.0,0.272166,0.333333,0.320395,0.392375,0.408714
20,BalancedAccuracy,0.1448864633,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
20,ECE,0.1354361333,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
20,NPV,0.1743847867,1.0,0.720082,0.833333,0.941249,0.320946,0.710669
20,Precision,0.1644873131,1.0,0.720082,0.833333,0.483029,0.565235,0.696435
20,Recall,0.1695696542,1.0,0.720082,0.833333,0.822451,0.304824,0.684655
21,ACC,0.0874791151,1.0,0.471405,0.5,0.988111,0.162777,0.5197
21,AUPRC,0.1266223358,1.0,0.272166,0.333333,0.97691,0.281524,0.477987
21,BalancedAccuracy,0.1421969386,1.0,0.471405,0.5,0.988111,0.162777,0.5197
21,ECE,0.1376656035,1.0,0.720082,0.833333,0.999799,0.198724,0.653541
21,NPV,0.1719404185,1.0,0.720082,0.833333,0.999799,0.198724,0.653541
21,Precision,0.1648657335,1.0,0.720082,0.833333,0.442646,0.685787,0.71136
21,Recall,0.169229855,1.0,0.816497,1.0,0.868522,0.250027,0.707529
22,ACC,0.0929681594,1.0,0.471405,0.5,0.75,0.220335,0.522518
22,AUPRC,0.1303097225,1.0,0.720082,0.833333,0.827327,0.180345,0.617158
22,BalancedAccuracy,0.1427078263,1.0,0.272166,0.333333,0.933013,0.738842,0.574421
22,ECE,0.1346264618,1.0,0.272166,0.333333,0.933013,0.196201,0.440616
22,NPV,0.1678856338,1.0,0.720082,0.833333,0.336337,0.231435,0.541852
22,Precision,0.1660018582,1.0,0.816497,1.0,0.933013,0.196201,0.683768
22,Recall,0.1655003379,1.0,0.720082,0.833333,0.336337,0.231435,0.541852
23,ACC,0.101246696,1.0,0.471405,0.5,0.933013,0.637445,0.675054
23,AUPRC,0.1330599825,1.0,0.720082,0.833333,0.594491,0.297894,0.638677
23,BalancedAccuracy,0.1416379891,1.0,0.272166,0.333333,1.0,0.594505,0.557665
23,ECE,0.1317696433,1.0,0.272166,0.333333,0.75,0.309041,0.461911
23,NPV,0.1658684817,1.0,0.720082,0.833333,0.594491,0.27755,0.629705
23,Precision,0.162647786,1.0,0.816497,1.0,0.25,0.309041,0.575416
23,Recall,0.1637694214,1.0,0.720082,0.833333,0.594491,0.27755,0.629705
24,ACC,0.1037939434,1.0,0.471405,0.5,0.988111,0.162777,0.5197
24,AUPRC,0.1306100132,1.0,0.272166,0.333333,0.97691,0.281524,0.477987
24,BalancedAccuracy,0.1393382813,1.0,0.471405,0.5,0.988111,0.162777,0.5197
24,ECE,0.1344390922,1.0,0.720082,0.833333,0.999799,0.198724,0.653541
24,NPV,0.1644460701,1.0,0.720082,0.833333,0.999799,0.198724,0.653541
24,Precision,0.1632469497,1.0,0.720082,0.833333,0.442646,0.685787,0.71136
24,Recall,0.1641256501,1.0,0.816497,1.0,0.868522,0.250027,0.707529
25,ACC,0.0927306717,1.0,0.0,0.25,0.5,1.0,0.041628
25,AUPRC,0.1286038259,1.0,0.272166,0.333333,0.320395,0.392375,0.408714
25,BalancedAccuracy,0.1401149462,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
25,ECE,0.1358036599,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
25,NPV,0.1684766491,1.0,0.720082,0.833333,0.941249,0.320946,0.710669
25,Precision,0.1669454515,1.0,0.720082,0.833333,0.483029,0.565235,0.696435
25,Recall,0.1673247957,1.0,0.720082,0.833333,0.822451,0.304824,0.684655
26,ACC,0.0829949925,1.0,0.0,0.25,0.5,1.0,0.041628
26,AUPRC,0.1268383812,1.0,0.272166,0.333333,0.320395,0.392375,0.408714
26,BalancedAccuracy,0.1407984114,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
26,ECE,0.1370044794,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
26,NPV,0.1720235587,1.0,0.720082,0.833333,0.941249,0.320946,0.710669
26,Precision,0.1702001331,1.0,0.720082,0.833333,0.483029,0.565235,0.696435
26,Recall,0.1701400438,1.0,0.720082,0.833333,0.822451,0.304824,0.684655
27,ACC,0.0890221315,1.0,0.471405,0.5,0.75,0.220335,0.522518
27,AUPRC,0.1304998424,1.0,0.720082,0.833333,0.827327,0.180345,0.617158
27,BalancedAccuracy,0.1414771224,1.0,0.272166,0.333333,0.933013,0.738842,0.574421
27,ECE,0.1340446726,1.0,0.272166,0.333333,0.933013,0.196201,0.440616
27,NPV,0.1679587972,1.0,0.720082,0.833333,0.336337,0.231435,0.541852
27,Precision,0.1706961299,1.0,0.816497,1.0,0.933013,0.196201,0.683768
27,Recall,0.1663013041,1.0,0.720082,0.833333,0.336337,0.231435,0.541852
28,ACC,0.0797314772,1.0,0.0,0.25,0.5,1.0,0.041628
28,AUPRC,0.1285068757,1.0,0.272166,0.333333,0.320395,0.392375,0.408714
28,BalancedAccuracy,0.1419971264,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
28,ECE,0.1354565706,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
28,NPV,0.171567849,1.0,0.720082,0.833333,0.941249,0.320946,0.710669
28,Precision,0.1735007301,1.0,0.720082,0.833333,0.483029,0.565235,0.696435
28,Recall,0.1692393712,1.0,0.720082,0.833333,0.822451,0.304824,0.684655
