round,model,score,rank
16,apin,0.3644954048,13
16,amPEPpy,0.3374687459,14
16,ascan2,0.2682449473,15
16,apex1.1,0.2142982575,16
16,ampir,0.1797412057,17
16,iamp-ca2l,0.010001804,18
17,AMPsorter,0.8218097495,1
17,amplify_imb,0.8066398798,2
17,pepnet_standard,0.7223212508,3
17,esm-AxP-GDL,0.710245904,4
17,HMD-AMP,0.6848421179,5
17,C_AMPs-predict,0.6671388693,6
17,pepnet_fast,0.6474058136,7
17,amplify_bal,0.5742640428,8
17,iampcn,0.4992424902,9
17,macrel,0.4924178866,10
17,lstm,0.4605270559,11
17,ai4amp,0.4073817051,12
17,amPEPpy,0.4072265285,13
17,apin,0.3331468151,14
17,apex1.1,0.2828597298,15
17,ascan2,0.2742664301,16
17,ampir,0.1980544388,17
17,iamp-ca2l,0.0102092921,18
18,AMPsorter,0.8218546873,1
18,amplify_imb,0.8066011903,2
18,pepnet_standard,0.7223757466,3
18,esm-AxP-GDL,0.710176129,4
18,HMD-AMP,0.6847912175,5
18,C_AMPs-predict,0.6673264814,6
18,pepnet_fast,0.6474021987,7
18,amplify_bal,0.5742764091,8
18,iampcn,0.4991953688,9
18,macrel,0.4925665202,10
18,lstm,0.4603994378,11
18,ai4amp,0.4074301667,12
18,amPEPpy,0.4072278671,13
18,apin,0.3330713597,14
18,apex1.1,0.2829634013,15
18,ascan2,0.2741615733,16
18,ampir,0.1979846533,17
18,iamp-ca2l,0.0101955918,18
19,pepnet_standard,0.7416799111,1
19,HMD-AMP,0.6827374689,2
19,C_AMPs-predict,0.6785899683,3
19,amplify_imb,0.6774337433,4
19,amplify_bal,0.6411650819,5
19,AMPsorter,0.6339869391,6
19,pepnet_fast,0.6059096395,7
19,macrel,0.581726421,8
19,esm-AxP-GDL,0.5262206194,9
19,ascan2,0.4907812522,10
19,ai4amp,0.464309519,11
19,lstm,0.4472969795,12
19,apin,0.4300431043,13
19,amPEPpy,0.3940665006,14
19,iampcn,0.3928891824,15
19,ampir,0.3091192012,16
19,apex1.1,0.2719114739,17
19,iamp-ca2l,0.0301329944,18
20,pepnet_standard,0.7415337357,1
20,HMD-AMP,0.6826505773,2
20,C_AMPs-predict,0.6783579897,3
20,amplify_imb,0.6774641315,4
20,amplify_bal,0.6411181347,5
20,AMPsorter,0.6337798697,6
20,pepnet_fast,0.6058836574,7
20,macrel,0.5815677404,8
20,esm-AxP-GDL,0.5262960357,9
20,ascan2,0.4908673858,10
20,ai4amp,0.46417754,11
20,lstm,0.4474989342,12
20,apin,0.4300338386,13
20,amPEPpy,0.3940976703,14
20,iampcn,0.3932174799,15
20,ampir,0.3091998228,16
20,apex1.1,0.2720957203,17
20,iamp-ca2l,0.030159736,18
21,HMD-AMP,0.8115076445,1
21,pepnet_standard,0.7755005629,2
21,ascan2,0.7008180616,3
21,macrel,0.6723477546,4
21,amplify_bal,0.6108314234,5
21,C_AMPs-predict,0.6021138609,6
21,amplify_imb,0.5717000204,7
21,apin,0.5580130096,8
21,ai4amp,0.525890776,9
21,AMPsorter,0.5183726914,10
21,pepnet_fast,0.5000180859,11
21,lstm,0.461570069,12
21,ampir,0.4016409394,13
21,esm-AxP-GDL,0.3715853175,14
21,iampcn,0.3635694377,15
21,amPEPpy,0.3113765404,16
21,apex1.1,0.1932625455,17
21,iamp-ca2l,0.0498812591,18
22,amplify_imb,0.7829184697,1
22,C_AMPs-predict,0.7550226525,2
22,AMPsorter,0.7495102659,3
22,pepnet_fast,0.711733021,4
22,pepnet_standard,0.707549836,5
22,esm-AxP-GDL,0.6808251353,6
22,amplify_bal,0.67126232,7
22,HMD-AMP,0.553801066,8
22,macrel,0.490927446,9
22,amPEPpy,0.4769484722,10
22,lstm,0.4331105636,11
22,iampcn,0.4221741679,12
22,ai4amp,0.4029902711,13
22,apex1.1,0.3516838416,14
22,apin,0.3019831897,15
