round,metric,weight,coverage,separation,consistency,consensus,uniqueness,committee_support
39,AUPRC,0.0817831989,1.0,0.558623,0.878225,0.950008,0.335041,0.689779
39,AUROC,0.0822038328,1.0,0.578164,0.922945,0.926438,0.376637,0.714485
39,BalancedAccuracy,0.0798750858,1.0,0.564405,0.891297,0.958935,0.319526,0.687989
39,BrierScore,0.0788734619,1.0,0.531345,0.818369,0.938742,0.311128,0.661854
39,ECE,0.082086869,1.0,0.517001,0.788098,0.923988,0.332361,0.659887
39,F1-Score,0.0793986688,1.0,0.537102,0.830753,0.97145,0.296454,0.663409
39,MCC,0.0801389263,1.0,0.564707,0.891985,0.972776,0.293748,0.678631
39,NPV,0.0911594749,1.0,0.587545,0.94496,0.724833,0.64301,0.763101
39,Precision,0.0875475693,1.0,0.585506,0.940144,0.873425,0.360957,0.704501
39,Recall,0.0898984267,1.0,0.574866,0.915978,0.612274,0.639091,0.729108
39,Specificity,0.088089657,1.0,0.591025,0.953216,0.834194,0.386795,0.711065
40,ACC,0.0789559461,1.0,0.52824,0.811908,0.942717,0.304409,0.657712
40,AUPRC,0.0819161322,1.0,0.558623,0.878225,0.950008,0.335041,0.689779
40,AUROC,0.0826425615,1.0,0.578164,0.922945,0.926438,0.376637,0.714485
40,BalancedAccuracy,0.0802111801,1.0,0.564405,0.891297,0.958935,0.319526,0.687989
40,BrierScore,0.0789528728,1.0,0.531345,0.818369,0.938742,0.311128,0.661854
40,ECE,0.0817523061,1.0,0.517001,0.788098,0.923988,0.332361,0.659887
40,F1-Score,0.0794374787,1.0,0.537102,0.830753,0.97145,0.296454,0.663409
40,MCC,0.0803084132,1.0,0.564707,0.891985,0.972776,0.293748,0.678631
40,NPV,0.0912245906,1.0,0.587545,0.94496,0.724833,0.64301,0.763101
40,Precision,0.0872010759,1.0,0.585506,0.940144,0.873425,0.360957,0.704501
40,Recall,0.0896246742,1.0,0.574866,0.915978,0.612274,0.639091,0.729108
40,Specificity,0.0877727688,1.0,0.591025,0.953216,0.834194,0.386795,0.711065
41,ACC,0.0790581203,1.0,0.610053,1.0,0.974706,0.271956,0.694621
41,AUPRC,0.0819921847,1.0,0.610368,1.0,0.938621,0.334214,0.718491
41,AUROC,0.0826454917,1.0,0.610368,1.0,0.936881,0.337217,0.71951
41,BalancedAccuracy,0.0801017867,1.0,0.610368,1.0,0.980661,0.261677,0.690201
41,BrierScore,0.079219263,1.0,0.610368,1.0,0.957819,0.301092,0.706505
41,ECE,0.0824034632,1.0,0.610368,1.0,0.851985,0.48367,0.758778
41,F1-Score,0.0796321633,1.0,0.610368,1.0,0.959288,0.298546,0.705522
41,MCC,0.0800718839,1.0,0.610368,1.0,0.991158,0.243575,0.681826
41,NPV,0.0904814596,1.0,0.610368,1.0,0.875642,0.415446,0.740093
41,Precision,0.087350881,1.0,0.610368,1.0,0.76698,0.577595,0.769839
41,Recall,0.0891960325,1.0,0.610053,1.0,0.779197,0.495827,0.748978
41,Specificity,0.0878472702,1.0,0.610368,1.0,0.731303,0.603863,0.769353
42,ACC,0.0791610508,1.0,0.499134,0.752066,0.976168,0.286238,0.637008
42,AUPRC,0.0818097646,1.0,0.489149,0.731682,0.957694,0.316805,0.641441
42,AUROC,0.0822330899,1.0,0.474971,0.704162,0.960495,0.312314,0.631372
42,BalancedAccuracy,0.0797137406,1.0,0.468815,0.692466,0.985583,0.269896,0.612714
42,BrierScore,0.0793209069,1.0,0.492283,0.737874,0.967291,0.301339,0.638207
42,ECE,0.0829071072,1.0,0.509343,0.772274,0.876469,0.454616,0.690291
42,F1-Score,0.0794920269,1.0,0.472445,0.699346,0.967597,0.299353,0.625438
42,MCC,0.0798231887,1.0,0.48775,0.72893,0.989511,0.264067,0.621732
42,NPV,0.0902060192,1.0,0.547812,0.854145,0.812656,0.451325,0.70293
42,Precision,0.0878334971,1.0,0.551852,0.863089,0.725002,0.593504,0.72833
42,Recall,0.0891897401,1.0,0.551233,0.862158,0.730787,0.521551,0.710562
42,Specificity,0.088309868,1.0,0.559234,0.879601,0.69032,0.61451,0.730957
43,ACC,0.0792386124,1.0,0.610053,1.0,0.974706,0.271956,0.694621
43,AUPRC,0.0818985813,1.0,0.610368,1.0,0.938621,0.334214,0.718491
43,AUROC,0.0822851567,1.0,0.610368,1.0,0.936881,0.337217,0.71951
43,BalancedAccuracy,0.0796640399,1.0,0.610368,1.0,0.980661,0.261677,0.690201
43,BrierScore,0.0795431329,1.0,0.610368,1.0,0.957819,0.301092,0.706505
43,ECE,0.0834196883,1.0,0.610368,1.0,0.851985,0.48367,0.758778
43,F1-Score,0.0796801657,1.0,0.610368,1.0,0.959288,0.298546,0.705522
43,MCC,0.0796448863,1.0,0.610368,1.0,0.991158,0.243575,0.681826
43,NPV,0.0895851167,1.0,0.610368,1.0,0.875642,0.415446,0.740093
43,Precision,0.0879074117,1.0,0.610368,1.0,0.76698,0.577595,0.769839
43,Recall,0.0888132905,1.0,0.610053,1.0,0.779197,0.495827,0.748978
43,Specificity,0.0883199175,1.0,0.610368,1.0,0.731303,0.603863,0.769353
44,ACC,0.0791548214,1.0,0.465156,0.68594,0.971013,0.296894,0.620501
44,AUPRC,0.0819347713,1.0,0.496431,0.74613,0.959896,0.324873,0.649415
44,AUROC,0.0820233049,1.0,0.459984,0.675955,0.950784,0.343361,0.632847
44,BalancedAccuracy,0.0795906223,1.0,0.479268,0.712418,0.981887,0.28343,0.624545
44,BrierScore,0.0792737338,1.0,0.451359,0.660131,0.973191,0.292915,0.610687
44,ECE,0.0830980633,1.0,0.46845,0.691778,0.914432,0.356365,0.637875
44,F1-Score,0.0798351099,1.0,0.503947,0.761266,0.979783,0.285006,0.639707
44,MCC,0.0797612308,1.0,0.501567,0.75645,0.981926,0.281269,0.636887
44,NPV,0.0901357947,1.0,0.572521,0.909873,0.68968,0.634582,0.744014
44,Precision,0.0877155341,1.0,0.519639,0.793602,0.787441,0.453935,0.681872
44,Recall,0.089343672,1.0,0.565426,0.893822,0.651561,0.658442,0.73658
44,Specificity,0.0881333415,1.0,0.527472,0.810114,0.756526,0.468173,0.68548
45,ACC,0.0790342112,1.0,0.528119,0.811908,0.971648,0.274961,0.648341
45,AUPRC,0.0819552217,1.0,0.558623,0.878225,0.950276,0.314528,0.681156
45,AUROC,0.0822894433,1.0,0.578164,0.922945,0.940409,0.332245,0.698876
45,BalancedAccuracy,0.0796972437,1.0,0.564405,0.891297,0.974654,0.270604,0.667666
45,BrierScore,0.079275848,1.0,0.531345,0.818369,0.959017,0.295363,0.657812
45,ECE,0.082966971,1.0,0.517001,0.788098,0.898547,0.398093,0.68033
45,F1-Score,0.0796954822,1.0,0.537102,0.830753,0.973333,0.272696,0.65267
45,MCC,0.0797257177,1.0,0.564707,0.891985,0.986044,0.250721,0.659255
45,NPV,0.0900712684,1.0,0.587545,0.94496,0.804938,0.507757,0.743318
45,Precision,0.0877547016,1.0,0.585506,0.940144,0.815244,0.463249,0.730408
45,Recall,0.0893388346,1.0,0.574866,0.915978,0.699208,0.606261,0.740873
45,Specificity,0.0881950565,1.0,0.591025,0.953216,0.777453,0.491185,0.735433
46,ACC,0.0789280743,1.0,0.528119,0.811908,0.971648,0.274961,0.648341
46,AUPRC,0.0819732181,1.0,0.558623,0.878225,0.950276,0.314528,0.681156
46,AUROC,0.0825236451,1.0,0.578164,0.922945,0.940409,0.332245,0.698876
46,BalancedAccuracy,0.0797910705,1.0,0.564405,0.891297,0.974654,0.270604,0.667666
46,BrierScore,0.0792777085,1.0,0.531345,0.818369,0.959017,0.295363,0.657812
46,ECE,0.0828516097,1.0,0.517001,0.788098,0.898547,0.398093,0.68033
46,F1-Score,0.0795726098,1.0,0.537102,0.830753,0.973333,0.272696,0.65267
46,MCC,0.0796944662,1.0,0.564707,0.891985,0.986044,0.250721,0.659255
46,NPV,0.0900144853,1.0,0.587545,0.94496,0.804938,0.507757,0.743318
46,Precision,0.087789169,1.0,0.585506,0.940144,0.815244,0.463249,0.730408
46,Recall,0.0893345776,1.0,0.574866,0.915978,0.699208,0.606261,0.740873
46,Specificity,0.0882493657,1.0,0.591025,0.953216,0.777453,0.491185,0.735433
47,ACC,0.078805011,1.0,0.431422,0.624958,0.96685,0.301524,0.601294
47,AUPRC,0.0818644103,1.0,0.461097,0.678019,0.960556,0.319393,0.625715
47,AUROC,0.082289008,1.0,0.446602,0.651531,0.952656,0.335512,0.62187
47,BalancedAccuracy,0.0796366945,1.0,0.444685,0.648091,0.977373,0.290005,0.605941
47,BrierScore,0.079049786,1.0,0.421809,0.608187,0.96371,0.307379,0.597248
47,ECE,0.0825884531,1.0,0.432213,0.626075,0.916758,0.37701,0.622567
47,F1-Score,0.0794264301,1.0,0.443338,0.645683,0.976333,0.289495,0.604782
47,MCC,0.0797024728,1.0,0.466806,0.688682,0.981212,0.280361,0.61564
47,NPV,0.0904700663,1.0,0.547968,0.854489,0.732154,0.580604,0.724084
47,Precision,0.0879467796,1.0,0.521935,0.798418,0.780563,0.473012,0.687742
47,Recall,0.0897662457,1.0,0.539325,0.835979,0.657721,0.640339,0.717298
47,Specificity,0.0884546427,1.0,0.53279,0.821465,0.742818,0.496473,0.69436
48,ACC,0.0789396647,1.0,0.610053,1.0,0.987282,0.247853,0.683598
48,AUPRC,0.0818027019,1.0,0.610368,1.0,0.97163,0.274937,0.695769
48,AUROC,0.0822703666,1.0,0.610368,1.0,0.962194,0.291263,0.70247
48,BalancedAccuracy,0.079681592,1.0,0.610368,1.0,0.986488,0.249226,0.684314
48,BrierScore,0.0791496088,1.0,0.610368,1.0,0.987844,0.246881,0.683209
48,ECE,0.0829187783,1.0,0.610368,1.0,0.916479,0.370351,0.729903
48,F1-Score,0.0794464002,1.0,0.610368,1.0,0.990827,0.241721,0.680739
48,MCC,0.0796905946,1.0,0.610368,1.0,0.990718,0.241908,0.68083
48,NPV,0.0903530612,1.0,0.610368,1.0,0.723152,0.595257,0.76543
48,Precision,0.0877961866,1.0,0.610368,1.0,0.796416,0.460991,0.741455
48,Recall,0.0897333905,1.0,0.610368,1.0,0.669737,0.64264,0.765408
48,Specificity,0.0882176546,1.0,0.610368,1.0,0.775049,0.467934,0.739641
49,ACC,0.0790568099,1.0,0.499134,0.752066,0.976168,0.286238,0.637008
49,AUPRC,0.0816430197,1.0,0.489149,0.731682,0.957694,0.316805,0.641441
49,AUROC,0.0819029798,1.0,0.474971,0.704162,0.960495,0.312314,0.631372
49,BalancedAccuracy,0.0793439694,1.0,0.468815,0.692466,0.985583,0.269896,0.612714
49,BrierScore,0.0792596112,1.0,0.492283,0.737874,0.967291,0.301339,0.638207
49,ECE,0.0833605845,1.0,0.509343,0.772274,0.876469,0.454616,0.690291
49,F1-Score,0.0793285554,1.0,0.472445,0.699346,0.967597,0.299353,0.625438
49,MCC,0.079487654,1.0,0.48775,0.72893,0.989511,0.264067,0.621732
49,NPV,0.0900930286,1.0,0.547812,0.854145,0.812656,0.451325,0.70293
49,Precision,0.088225366,1.0,0.551852,0.863089,0.725002,0.593504,0.72833
49,Recall,0.0896626152,1.0,0.551233,0.862158,0.730787,0.521551,0.710562
49,Specificity,0.0886358063,1.0,0.559234,0.879601,0.69032,0.61451,0.730957
50,ACC,0.0789479611,1.0,0.528119,0.811908,0.971648,0.274961,0.648341
50,AUPRC,0.0816984804,1.0,0.558623,0.878225,0.950276,0.314528,0.681156
50,AUROC,0.0821835573,1.0,0.578164,0.922945,0.940409,0.332245,0.698876
50,BalancedAccuracy,0.0794801891,1.0,0.564405,0.891297,0.974654,0.270604,0.667666
50,BrierScore,0.0792634202,1.0,0.531345,0.818369,0.959017,0.295363,0.657812
50,ECE,0.0831979896,1.0,0.517001,0.788098,0.898547,0.398093,0.68033
50,F1-Score,0.0792497142,1.0,0.537102,0.830753,0.973333,0.272696,0.65267
50,MCC,0.0794849702,1.0,0.564707,0.891985,0.986044,0.250721,0.659255
50,NPV,0.0900336343,1.0,0.587545,0.94496,0.804938,0.507757,0.743318
50,Precision,0.0882033536,1.0,0.585506,0.940144,0.815244,0.463249,0.730408
50,Recall,0.0896195046,1.0,0.574866,0.915978,0.699208,0.606261,0.740873
50,Specificity,0.0886372256,1.0,0.591025,0.953216,0.777453,0.491185,0.735433
