rank,combo,median_score,mean_score,score_iqr,median_rank,mean_rank,top3_frequency,mean_AUPRC,mean_MCC,mean_Precision,mean_Recall,worst_dataset_AUPRC,worst_dataset_MCC
226,amplify_bal + apin + C_AMPs-predict,0.6142529006638072,0.6003674695449754,0.08100088744791667,237.0,268.84,0.0,0.9284624557029569,0.774063577165894,0.8313300902311899,0.8407571102262441,0.8962760911931821,0.7078793112522469
227,amPEPpy + amplify_bal + esm-AxP-GDL,0.6129623743984884,0.6199185059471813,0.1505129807220179,227.0,250.44,0.0,0.9564174436736922,0.7053553788228281,0.6857442904164488,0.9376636742350709,0.939034496454032,0.6363243114149544
228,amPEPpy + C_AMPs-predict + iampcn,0.6127038251991421,0.626268054345098,0.15726327776194837,228.0,243.74,0.0,0.9610205247431612,0.7565826705327915,0.7599114834760581,0.9144403173257252,0.9371755272628846,0.703493099975334
229,amplify_imb + AMPsorter + pepnet_fast,0.6123121991013072,0.6316230409576389,0.16296494015676077,228.5,234.78,0.0,0.9201644205994067,0.7355924865168803,0.7381902658952405,0.9014843877540937,0.8368913030497003,0.6492869530824059
230,amPEPpy + ascan2 + esm-AxP-GDL,0.6121808512479574,0.6198330843885212,0.06328163183363977,229.0,244.82,0.0,0.953999680906023,0.6853779969559931,0.6495156464491552,0.9425662512206957,0.9196053588710452,0.48854713299081026
231,ai4amp + HMD-AMP + pepnet_fast,0.6118824904983661,0.6135408757914624,0.048536566184640306,231.0,248.02,0.0,0.9135189231467801,0.7112612187024511,0.7190763575802729,0.8718750933759708,0.8348370811346822,0.5020176832032635
232,amPEPpy + HMD-AMP + lstm,0.6116484485334968,0.6184801078837827,0.05474674444955063,233.0,243.64,0.0,0.9307445913155142,0.6754037559011029,0.6464146635174827,0.930037488896781,0.8643880818331889,0.39813119159987176
233,ascan2 + HMD-AMP + pepnet_fast,0.6115084449693627,0.6076241555519608,0.1543009551450163,232.0,264.24,0.0,0.9124391955559669,0.673259522545905,0.6603862772465924,0.8963155441603506,0.8334483724487737,0.37749445136433074
234,C_AMPs-predict + iampcn + pepnet_fast,0.6112005675142973,0.6186568369548611,0.13466620325265521,234.0,251.0,0.0,0.9552945620789828,0.7515825284318859,0.7642794097496878,0.896523456873485,0.9270855542178198,0.70315199675501
235,amPEPpy + apin + pepnet_standard,0.6102728885008171,0.605892458747549,0.04542076159160535,241.0,261.2,0.0,0.9128356632108608,0.7263502449250399,0.7235751065108863,0.8857460731955072,0.8389663911620153,0.5553699734376358
236,ampir + esm-AxP-GDL + HMD-AMP,0.6098880221313318,0.6233487527575572,0.08767581969413796,236.0,241.04,0.0,0.9423598926920804,0.6748500699872507,0.6431216521687394,0.9377152700723439,0.8796889681895123,0.3661698364617396
237,AMPsorter + C_AMPs-predict + lstm,0.6092037931444036,0.6158329567569036,0.09944830419219786,237.0,253.5,0.0,0.9315274545761868,0.7647059786775833,0.8111801430575599,0.8530761145006002,0.8816500832692606,0.7036685844174595
238,ai4amp + AMPsorter + C_AMPs-predict,0.6090554370853758,0.6041220572058006,0.05635922967167062,240.5,263.74,0.0,0.9334920789614983,0.795498096191349,0.8920151066789336,0.812361312832064,0.8815194226059828,0.7213642840862975
239,ascan2 + C_AMPs-predict + HMD-AMP,0.6077575746272468,0.6024728679955066,0.15332593464818223,239.0,271.3,0.0,0.923680192877602,0.6856110057596158,0.6940362785398211,0.8651147719180772,0.8620927798700265,0.40329841293845214
240,apin + C_AMPs-predict + pepnet_fast,0.6072208377205883,0.5954046491520834,0.07531929047998354,240.0,277.18,0.0,0.9265524460299285,0.7714154686861558,0.8246620100501763,0.8426400415929308,0.893406675442004,0.714247773548079
